Code point(s),Character(s),Unicode name(s),,,
U+000A1,¡,Inverted Exclamation Mark,\exclamdown,,
U+000A3,£,Pound Sign,\sterling,,
U+000A5,¥,Yen Sign,\yen,,
U+000A6,¦,Broken Bar / Broken Vertical Bar,\brokenbar,,
U+000A7,§,Section Sign,\S,,
U+000A9,©,Copyright Sign,\copyright, \:copyright,
U+000AA,ª,Feminine Ordinal Indicator,\ordfeminine,,
U+000AC,¬,Not Sign,\neg,,
U+000AE,®,Registered Sign / Registered Trade Mark Sign,\circledR, \:registered,
U+000AF,¯,Macron / Spacing Macron,\highminus,,
U+000B0,°,Degree Sign,\degree,,
U+000B1,±,Plus-Minus Sign / Plus-Or-Minus Sign,\pm,,
U+000B2,²,Superscript Two / Superscript Digit Two,\^2,,
U+000B3,³,Superscript Three / Superscript Digit Three,\^3,,
U+000B6,¶,Pilcrow Sign / Paragraph Sign,\P,,
U+000B7,·,Middle Dot,\cdotp,,
U+000B9,¹,Superscript One / Superscript Digit One,\^1,,
U+000BA,º,Masculine Ordinal Indicator,\ordmasculine,,
U+000BC,¼,Vulgar Fraction One Quarter / Fraction One Quarter,\1/4,,
U+000BD,½,Vulgar Fraction One Half / Fraction One Half,\1/2,,
U+000BE,¾,Vulgar Fraction Three Quarters / Fraction Three Quarters,\3/4,,
U+000BF,¿,Inverted Question Mark,\questiondown,,
U+000C5,Å,Latin Capital Letter A With Ring Above / Latin Capital Letter A Ring,\AA,,
U+000C6,Æ,Latin Capital Letter Ae / Latin Capital Letter A E,\AE,,
U+000D0,Ð,Latin Capital Letter Eth,\DH,,
U+000D7,×,Multiplication Sign,\times,,
U+000D8,Ø,Latin Capital Letter O With Stroke / Latin Capital Letter O Slash,\O,,
U+000DE,Þ,Latin Capital Letter Thorn,\TH,,
U+000DF,ß,Latin Small Letter Sharp S,\ss,,
U+000E5,å,Latin Small Letter A With Ring Above / Latin Small Letter A Ring,\aa,,
U+000E6,æ,Latin Small Letter Ae / Latin Small Letter A E,\ae,,
U+000F0,ð,Latin Small Letter Eth,\eth, \dh,
U+000F7,÷,Division Sign,\div,,
U+000F8,ø,Latin Small Letter O With Stroke / Latin Small Letter O Slash,\o,,
U+000FE,þ,Latin Small Letter Thorn,\th,,
U+00110,Đ,Latin Capital Letter D With Stroke / Latin Capital Letter D Bar,\DJ,,
U+00111,đ,Latin Small Letter D With Stroke / Latin Small Letter D Bar,\dj,,
U+00127,ħ,Latin Small Letter H With Stroke / Latin Small Letter H Bar,\hbar,,
U+00131,ı,Latin Small Letter Dotless I,\imath,,
U+00141,Ł,Latin Capital Letter L With Stroke / Latin Capital Letter L Slash,\L,,
U+00142,ł,Latin Small Letter L With Stroke / Latin Small Letter L Slash,\l,,
U+0014A,Ŋ,Latin Capital Letter Eng,\NG,,
U+0014B,ŋ,Latin Small Letter Eng,\ng,,
U+00152,Œ,Latin Capital Ligature Oe / Latin Capital Letter O E,\OE,,
U+00153,œ,Latin Small Ligature Oe / Latin Small Letter O E,\oe,,
U+00195,ƕ,Latin Small Letter Hv / Latin Small Letter H V,\hvlig,,
U+0019E,ƞ,Latin Small Letter N With Long Right Leg,\nrleg,,
U+001B5,Ƶ,Latin Capital Letter Z With Stroke / Latin Capital Letter Z Bar,\Zbar,,
U+001C2,ǂ,Latin Letter Alveolar Click / Latin Letter Pipe Double Bar,\doublepipe,,
U+00237,ȷ,Latin Small Letter Dotless J,\jmath,,
U+00250,ɐ,Latin Small Letter Turned A,\trna,,
U+00252,ɒ,Latin Small Letter Turned Alpha / Latin Small Letter Turned Script A,\trnsa,,
U+00254,ɔ,Latin Small Letter Open O,\openo,,
U+00256,ɖ,Latin Small Letter D With Tail / Latin Small Letter D Retroflex Hook,\rtld,,
U+00259,ə,Latin Small Letter Schwa,\schwa,,
U+00263,ɣ,Latin Small Letter Gamma,\pgamma,,
U+00264,ɤ,Latin Small Letter Rams Horn / Latin Small Letter Baby Gamma,\pbgam,,
U+00265,ɥ,Latin Small Letter Turned H,\trnh,,
U+0026C,ɬ,Latin Small Letter L With Belt / Latin Small Letter L Belt,\btdl,,
U+0026D,ɭ,Latin Small Letter L With Retroflex Hook / Latin Small Letter L Retroflex Hook,\rtll,,
U+0026F,ɯ,Latin Small Letter Turned M,\trnm,,
U+00270,ɰ,Latin Small Letter Turned M With Long Leg,\trnmlr,,
U+00271,ɱ,Latin Small Letter M With Hook / Latin Small Letter M Hook,\ltlmr,,
U+00272,ɲ,Latin Small Letter N With Left Hook / Latin Small Letter N Hook,\ltln,,
U+00273,ɳ,Latin Small Letter N With Retroflex Hook / Latin Small Letter N Retroflex Hook,\rtln,,
U+00277,ɷ,Latin Small Letter Closed Omega,\clomeg,,
U+00278,ɸ,Latin Small Letter Phi,\ltphi,,
U+00279,ɹ,Latin Small Letter Turned R,\trnr,,
U+0027A,ɺ,Latin Small Letter Turned R With Long Leg,\trnrl,,
U+0027B,ɻ,Latin Small Letter Turned R With Hook / Latin Small Letter Turned R Hook,\rttrnr,,
U+0027C,ɼ,Latin Small Letter R With Long Leg,\rl,,
